"","provname","DistName","DivName","locname","sublocname","Areaname","AreaID","townname","WSPName","WSBName","ADist","AreaType","Settlement","Legalised","Alegyr","WaterTableDry","WaterTableRainy","Flooding","Soil","SoilSelfSupporting","AreaLocation","AreaTopology","X","Population","PopDensity","Area","Dwellings","DwellingsWithPipedWaterOnPlot","DwellingsWithWaterSourceOnPlot","DwellingsWithFlushToilets","DwellingsWithOtherImproved","DwellingsWithUnimproved","DwellingsWithOD","SanitationSharing"
"1444","NYANZA","KISUMU EAST","WINAM","KISUMU CENTRAL      ","KORANDO 'A'","OTONGLO",60401070101,"KISUMU","Gulf Water and Sewerage Company","LAKE VICTORIA SOUTH ",6,"Unplanned","Informal Settlement. ","Legal","1970","It varies from place to place","It varies from place to place","Seasonal","Loam. ","Pits tend to collapse. ","Near toxic waste area. ","Area is slightly flat",NA,807,2783,0.29,63,0,9,0,15,45,0,NA
"1445","NYANZA","KISUMU EAST","WINAM","KISUMU EAST         ","KOGONY","RIAT",60401080102,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",2,"Unplanned","Area with Informal Housing. ","Legal","1977","It varies from place to place","It varies from place to place","No","Loam. ","Soil is stable. ","Next to a railway line. ","The area is slightly flat",NA,1328,8853,0.15,60,NA,0,0,25,30,2,NA
"1446","NYANZA","KISUMU EAST","WINAM","KISUMU EAST         ","DAGO","KIBOSWA",60401080201,"KISUMU","Gulf Water and Sewerage Company","LAKE VICTORIA SOUTH ",5,"Unplanned","Area with Informal Housing. ","Legal","1970","It varies from place to place","It varies from place to place","No","Sandy soil. ","Soil is stable. ","Next to a busy road. ","Slightly slopy",NA,451,15033,0.03,32,NA,0,0,3,25,3,NA
"1447","NYANZA","KISUMU EAST","WINAM","MIWANI              ","MIWANI EAST","MIWANI EAST",60401120101,"MIWANI","Nyanas Water and Sanitation Company","LAKE VICTORIA SOUTH ",1,"Planned","Area With Planned Low Income Housing. ","Illegal","Not Applicable","Unknown","Unknown","Seasonal","Sandy soil. ","soild conditions differs from place to place. ","Next to a railway line. ","Flat land",NA,251,8367,0.03,46,NA,0,0,18,18,9,NA
"1448","NYANZA","KISUMU EAST","WINAM","MIWANI              ","MIWANI EAST","MIWANI NORTH",60401120102,"MIWANI","Nyanas Water and Sanitation Company","LAKE VICTORIA SOUTH ",1,"Unplanned","Area with Informal Housing. ","Legal","1968","More than 9 feet","Between 3 and 9 feet","Seasonal","Sandy soil. ","Pits tend to collapse. ","In or near industrial/mine area. ","Slightly flat",NA,2010,67000,0.03,126,NA,0,0,68,56,0,NA
"1449","NYANZA","KISUMU EAST","KADIBO","KOCHIENG EAST       ","RABUOR (KOCHIENG)","RABOUR",60402040201,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",7,"Unplanned","Area with Informal Housing. ","Legal","1978","Between 3 and 9 feet","Between 3 and 9 feet","Seasonal","Sandy soil. ","Soil needs lining. ","In or near flood plain. ","Flat area",NA,661,7344,0.09,41,NA,24,0,16,21,2,NA
"1450","NYANZA","KISUMU WEST","MASENO","NORTH WEST KISUMU   ","EAST KARATENG","MASENO A",60501010101,"MASENO","Amatsi Water Services Company","LAKE VICTORIA NORTH ",0.5,"Planned","Area With Planned Low Income Housing. ","Legal","1966","More than 9 feet","More than 9 feet","No","Loam. ","Soil is stable. ","Next to a busy road. ","Slightly steep slope",NA,425,10625,0.04,34,NA,0,8,19,5,0,NA
"1451","NYANZA","KISUMU WEST","MASENO","NORTH WEST KISUMU   ","EAST KARATENG","MASENO B",60501010102,"MASENO","Amatsi Water Services Company","LAKE VICTORIA NORTH ",1,"Planned","Area with Informal Housing. ","Legal","1966","More than 9 feet","More than 9 feet","No","Loam. ","Soil is stable. ","Next to a busy road. ","Slightly steep slope",NA,360,6000,0.06,34,2,2,0,0,31,2,NA
"1452","NYANZA","KISUMU WEST","MASENO","WEST KISUMU         ","LOWER KADONGO","HOLO",60501020301,"HOLO MARKET","Gulf Water and Sewerage Company","LAKE VICTORIA SOUTH ",20,"Unplanned","Area with Informal Housing. ","Being legalised","Not Applicable","It varies from place to place","It varies from place to place","Seasonal","Loam. ","Pits tend to collapse. ","Next to a busy road. ","Area is no a gentle slope",NA,1059,11767,0.09,65,NA,58,0,30,34,0,NA
"1453","NYANZA","KISUMU WEST","KOMBEWA","SOUTH CENTRAL SEME     ","LOWER KOMBEWA","KOMBEWA",60502030101,"HOLO MARKET","Gulf Water and Sewerage Company","LAKE VICTORIA SOUTH ",28,"Unplanned","Area with Informal Housing. ","Legal","1970","It varies from place to place","It varies from place to place","No","Loam. ","soild conditions differs from place to place. ","Next to a busy road. ","The area has gentle slope",NA,511,7300,0.07,46,NA,43,0,11,33,0,NA
